# Baby names
ଅକର୍ଯସୁଟ	அகர்யஸுட
ଲାଓସ୍	லாஓஸ்
ଲେବାନନ୍	லேபாநந்
ସେଣ୍ଟ ଲୁସିଆ	ஸேண்ட லுஸிஆ
ଲିଚେସ୍ତିଆନାନ୍	லிசேஸ்திஆநாந்
ଶ୍ରୀଲଙ୍କା	ஶ்ரீலங்கா
ଲିବେରିଆ	லிபேரிஆ
ଲେସୋଥୋ	லேஸோதோ
ଲିଥାଆନିଆ	லிதாஆநிஆ
ଲକ୍ସେମବର୍ଗ	லக்ஸேமபர்க
ଲାଟଭିଆ	லாடபிஆ
ଲିବିଆ	லிபிஆ
ମୋରୋକ୍କୋ	மோரோக்கோ
ମୋନାକୋ	மோநாகோ
ମାଲଡୋଭା	மாலடோபா
ମଣ୍ଟେଗ୍ରୋ	மண்டேக்ரோ
ସେଣ୍ଟ ମାର୍ଟିନ୍	ஸேண்ட மார்டிந்
ମାଡାଗାସ୍କର୍	மாடாகாஸ்கர்
ମାର୍ଶଲ୍ ଦ୍ବୀପପୁଞ୍ଜ	மார்ஶல் த்பீபபுஞ்ஜ
ମାସେଡୋନିଆ	மாஸேடோநிஆ
ମାଳୀ	மாளீ
ମିୟାମାର୍	மியாமார்
ମଙ୍ଗୋଲିଆ	மங்கோலிஆ
ମାକାଉ SAR ଚିନ୍	மாகாஉ SAR சிந்
ଉତ୍ତର ମାରିଆନା ଦ୍ବୀପପୁଞ୍ଜ	உத்தர மாரிஆநா த்பீபபுஞ்ஜ
ମାର୍ଟିନିକ୍ୟୁ	மார்டிநிக்யு
ମାଉରିଟାନିଆ	மாஉரிடாநிஆ
ମଣ୍ଟେସେରାଟ୍	மண்டேஸேராட்
ମାଲ୍ଟା	மால்டா
ମୌରିସସ୍	மௌரிஸஸ்
ମାଳଦ୍ବୀପ	மாளத்பீப
ମାଲୱି	மாலவி
ମେକ୍ସିକୋ	மேக்ஸிகோ
ମାଲେସିଆ	மாலேஸிஆ
ମୋଜାମ୍ବିକ୍ୟୁ	மோஜாம்பிக்யு
ନାମ୍ବିଆ	நாம்பிஆ
ନୂତନ କାଲେଡୋନିଆ	நூதந காலேடோநிஆ
ନାଇଜର୍	நாஇஜர்
ନରଫ୍ଲକ୍ ଦ୍ବୀପ	நரப்லக் த்பீப
ନାଇଜେରିଆ	நாஇஜேரிஆ
ନିକାରାଗୁଆ	நிகாராகுஆ
ନେଦରଲ୍ୟାଣ୍ଡ	நேதரல்யாண்ட
ନରୱେ	நரவே
ନେପାଳ	நேபாள
ନାଉରୁ	நாஉரு
ନିଉ	நிஉ
ନ୍ୟୁଜିଲାଣ୍ଡ	ந்யுஜிலாண்ட
ଓମାନ୍	ஓமாந்
ପାନାମା	பாநாமா
ପେରୁ	பேரு
ଫ୍ରେଞ୍ଚ ପଲିନେସିଆ	ப்ரேஞ்ச பலிநேஸிஆ
ପପୁଆ ନ୍ୟୁ ଗୁଏନିଆ	பபுஆ ந்யு குஏநிஆ
ଫିଲିପାଇନସ୍	பிலிபாஇநஸ்
ପାକିସ୍ତାନ	பாகிஸ்தாந
ପୋଲାଣ୍ଡ	போலாண்ட
ସେଣ୍ଟ ପିଏରେ ଏବଂ ମିକ୍ବାଲୋନ୍	ஸேண்ட பிஏரே ஏபஂ மிக்பாலோந்
ପିଟକାଇରିନ୍	பிடகாஇரிந்
ପୁଏର୍ତ୍ତୋ ରିକୋ	புஏர்த்தோ ரிகோ
ପାଲେସ୍ତେନିଆ	பாலேஸ்தேநிஆ
ପର୍ତ୍ତୁଗାଲ୍	பர்த்துகால்
ପାଲାଉ	பாலாஉ
ପାରାଗୁଏ	பாராகுஏ
କତାର୍	கதார்
ଆଉଟଲେଇଂ ଓସେନିଆ	ஆஉடலேஇஂ ஓஸேநிஆ
ରିୟୁନିଅନ୍	ரியுநிஅந்
ରୋମାନିଆ	ரோமாநிஆ
ସର୍ବିଆ	ஸர்பிஆ
ରୁଷିଆ	ருஷிஆ
ରାୱାଣ୍ଡା	ராவாண்டா
ସାଉଦି ଆରବିଆ	ஸாஉதி ஆரபிஆ
ସୋଲୋମନ୍ ଦ୍ବୀପପୁଞ୍ଜ	ஸோலோமந் த்பீபபுஞ்ஜ
ସେଚେଲସ୍	ஸேசேலஸ்
ସୁଦାନ୍	ஸுதாந்
ସ୍ୱେଡେନ୍	ஸ்வேடேந்
ସିଙ୍ଗାପୁର୍	ஸிங்காபுர்
ସେଣ୍ଟ ହେଲେନା	ஸேண்ட ஹேலேநா
ସ୍ଲୋଭେନିଆ	ஸ்லோபேநிஆ
ସାଲ୍ଭାର୍ଡ ଏବଂ ଜାନ୍ ମାୟୋନ୍	ஸால்பார்ட ஏபஂ ஜாந் மாயோந்
ସ୍ଲୋଭାକିଆ	ஸ்லோபாகிஆ
ସିଓରା ଲିଓନ୍	ஸிஓரா லிஓந்
ସାନ୍ ମାରିନୋ	ஸாந் மாரிநோ
ସେନେଗାଲ୍	ஸேநேகால்
ସୋମାଲିଆ	ஸோமாலிஆ
ସୁରିନାମ	ஸுரிநாம
ଦକ୍ଷିନ ସୁଦାନ	தக்ஷிந ஸுதாந
ସାଓ ଟୋମେ ଏବଂ ପ୍ରିନସିପି	ஸாஓ டோமே ஏபஂ ப்ரிநஸிபி
ଏଲ୍ ସାଲଭାଡୋର୍	ஏல் ஸாலபாடோர்
ସିରିଆ	ஸிரிஆ
ସ୍ବାଜିଲାଣ୍ଡ	ஸ்பாஜிலாண்ட
ତୁର୍କସ୍ ଏବଂ ସାଇକସ୍ ଦ୍ବୀପପୁଞ୍ଜ	துர்கஸ் ஏபஂ ஸாஇகஸ் த்பீபபுஞ்ஜ
ଚାଦ୍	சாத்
ଫରାସୀ ଦକ୍ଷିଣ କ୍ଷେତ୍ର	பராஸீ தக்ஷிண க்ஷேத்ர
ଟୋଗୋ	டோகோ
ଥାଇଲାଣ୍ଡ	தாஇலாண்ட
ତାଜିକିସ୍ଥାନ୍	தாஜிகிஸ்தாந்
ଟୋକେଲାଉ	டோகேலாஉ
ପୁର୍ବ ତିମୋର୍	புர்ப திமோர்
ତୁର୍କମେନିସ୍ତାନ୍	துர்கமேநிஸ்தாந்
ତୁନିସିଆ	துநிஸிஆ
ଟୋଙ୍ଗା	டோங்கா
ତୁର୍କୀ	துர்கீ
ତ୍ରିନିଦାଦ୍ ଏବଂ ଟୋବାଗୋ	த்ரிநிதாத் ஏபஂ டோபாகோ
ଟୁଭାଲୁ	டுபாலு
ତାଇୱାନ୍	தாஇவாந்
ତାଞ୍ଜାନିଆ	தாஞ்ஜாநிஆ
ୟୁକ୍ରାଇନ୍	யுக்ராஇந்
ଉଗାଣ୍ଡା	உகாண்டா
ୟୁନାଇଟେଡ୍ ଷ୍ଟେଟସ୍ ମାଇନର୍ ଆଉଟଲେଇଂ ଦ୍ବୀପପୁଞ୍ଜ	யுநாஇடேட் ஷ்டேடஸ் மாஇநர் ஆஉடலேஇஂ த்பீபபுஞ்ஜ
ଯୁକ୍ତ ରାଷ୍ଟ୍ର ଆମେରିକା	யுக்த ராஷ்ட்ர ஆமேரிகா
ଉରୁଗୁଏ	உருகுஏ
ଉଜବେକିସ୍ଥାନ୍	உஜபேகிஸ்தாந்
ଭାଟିକାନ୍	பாடிகாந்
ସେଣ୍ଟ ଭିନସେଣ୍ଟ ଏବଂ ଦି ଗ୍ରେନାଡିସ୍	ஸேண்ட பிநஸேண்ட ஏபஂ தி க்ரேநாடிஸ்
ଭେନଜୁଏଲା	பேநஜுஏலா
ବ୍ରିଟିଶ୍ ଭର୍ଜିନ୍ ଦ୍ବୀପପୁଞ୍ଜ	ப்ரிடிஶ் பர்ஜிந் த்பீபபுஞ்ஜ
ୟୁଏସ୍ ଭର୍ଜିନ୍ ଦ୍ବୀପପୁଞ୍ଜ	யுஏஸ் பர்ஜிந் த்பீபபுஞ்ஜ
ଭିଏତନାମ୍	பிஏதநாம்
ଭାନୁଆତୁ	பாநுஆது
ୱାଲିସ୍ ଏବଂ ଫୁତୁନା	வாலிஸ் ஏபஂ புதுநா
ସାମୋଆ	ஸாமோஆ
ୟେମେନ୍	யேமேந்
ମାୟୋଟେ	மாயோடே
ଦକ୍ଷିଣ ଆଫ୍ରିକା	தக்ஷிண ஆப்ரிகா
ଜାମ୍ବିଆ	ஜாம்பிஆ
ଜିମ୍ବାୱେ	ஜிம்பாவே
ଅଜଣା କିମ୍ବା ଅବୈଧ ପ୍ରଦେଶ	அஜணா கிம்பா அபைத ப்ரதேஶ
