# Baby names
அகஜா	অকজা
மகாவ் எஸ்ஏஆர் சீனா	মকাব্ এস্এআর্ চীন়া
மகாவ்	মকাব্
வடக்கு மரியானா தீவுகள்	বটক্কু মরিযান়া তীবুকল্
மார்டினிக்	মার্টিন়িক্
மௌரிடானியா	মৌরিটান়িযা
மாண்ட்செராட்	মাণ্ট্চেরাট্
மால்டா	মাল্টা
மொரிசியஸ்	মোরিচিযস্
மாலத்தீவு	মালত্তীবু
மலாவி	মলাবি
மெக்சிகோ	মেক্চিকো
மலேசியா	মলেচিযা
மொசாம்பிக்	মোচাম্পিক্
நமீபியா	নমীপিযা
நியூ கேலிடோனியா	নিযূ কেলিটোন়িযা
நைஜர்	নৈজর্
நார்ஃபோக் தீவுகள்	নার্ঃপোক্ তীবুকল্
நைஜீரியா	নৈজীরিযা
நிகரகுவா	নিকরকুবা
நெதர்லாந்து	নেতর্লান্তু
நார்வே	নার্বে
நேபாளம்	নেপালম্
நௌரு	নৌরু
நியூ	নিযূ
நியூசிலாந்து	নিযূচিলান্তু
ஓமன்	ওমন়্
பனாமா	পন়ামা
பெரு	পেরু
பிரெஞ்சு பாலினேஷியா	পিরেঞ্চু পালিন়েষিযা
பப்புவா நியூ கினியா	পপ্পুবা নিযূ কিন়িযা
பிலிப்பைன்ஸ்	পিলিপ্পৈন়্স্
பாகிஸ்தான்	পাকিস্তান়্
போலந்து	পোলন্তু
செயின்ட் பியர் &amp; மிக்வேலான்	চেযিন়্ট্ পিযর্ &amp; মিক্বেলান়্
பிட்கெய்ர்ன் தீவுகள்	পিট্কেয্র্ন়্ তীবুকল্
பியூர்டோ ரிகோ	পিযূর্টো রিকো
பாலஸ்தீனிய பிரதேசங்கள்	পালস্তীন়িয পিরতেচঙ্কল্
பாலஸ்தீனம்	পালস্তীন়ম্
போர்ச்சுக்கல்	পোর্চ্চুক্কল্
பாலோ	পালো
பராகுவே	পরাকুবে
கத்தார்	কত্তার্
வெளிப்புற ஓஷியானியா	বেলিপ্পুর় ওষিযান়িযা
ரீயூனியன்	রীযূন়িযন়্
ருமேனியா	রুমেন়িযা
செர்பியா	চের্পিযা
ரஷ்யா	রষ্যা
ருவான்டா	রুবান়্টা
சவூதி அரேபியா	চবূতি অরেপিযা
சாலமன் தீவுகள்	চালমন়্ তীবুকল্
சீஷெல்ஸ்	চীষেল্স্
சூடான்	চূটান়্
ஸ்வீடன்	স্বীটন়্
சிங்கப்பூர்	চিঙ্কপ্পূর্
செயின்ட் ஹெலெனா	চেযিন়্ট্ হেলেন়া
ஸ்லோவேனியா	স্লোবেন়িযা
ஸ்வல்பார்டு &amp; ஜான் மேயன்	স্বল্পার্টু &amp; জান়্ মেযন়্
ஸ்லோவாகியா	স্লোবাকিযা
சியாரா லியோன்	চিযারা লিযোন়্
சான் மரினோ	চান়্ মরিন়ো
செனெகல்	চেন়েকল্
சோமாலியா	চোমালিযা
சுரினாம்	চুরিন়াম্
தெற்கு சூடான்	তের়্কু চূটান়্
சாவ் தோம் &amp; ப்ரின்சிபி	চাব্ তোম্ &amp; প্রিন়্চিপি
எல் சால்வடார்	এল্ চাল্বটার্
சின்ட் மார்டென்	চিন়্ট্ মার্টেন়্
சிரியா	চিরিযা
ஸ்வாஸிலாந்து	স্বাসিলান্তু
டிரிஸ்டன் டா குன்ஹா	টিরিস্টন়্ টা কুন়্হা
டர்க்ஸ் &amp; கைகோஸ் தீவுகள்	টর্ক্স্ &amp; কৈকোস্ তীবুকল্
சாட்	চাট্
பிரெஞ்சு தெற்கு பிரதேசங்கள்	পিরেঞ্চু তের়্কু পিরতেচঙ্কল্
டோகோ	টোকো
தாய்லாந்து	তায্লান্তু
தாஜிகிஸ்தான்	তাজিকিস্তান়্
டோகேலோ	টোকেলো
தைமூர்-லெஸ்தே	তৈমূর্-লেস্তে
கிழக்கு தைமூர்	কিলক্কু তৈমূর্
துர்க்மெனிஸ்தான்	তুর্ক্মেন়িস্তান়্
டுனிசியா	টুন়িচিযা
டோங்கா	টোঙ্কা
துருக்கி	তুরুক্কি
ட்ரினிடாட் &amp; டொபாகோ	ট্রিন়িটাট্ &amp; টোপাকো
துவாலூ	তুবালূ
தைவான்	তৈবান়্
தான்சானியா	তান়্চান়িযা
உக்ரைன்	উক্রৈন়্
உகாண்டா	উকাণ্টা
அமெரிக்கா	অমেরিক্কা
யூஎஸ்	যূএস্
உருகுவே	উরুকুবে
உஸ்பெகிஸ்தான்	উস্পেকিস্তান়্
வாடிகன் நகரம்	বাটিকন়্ নকরম্
செயின்ட் வின்சென்ட் &amp; கிரெனடைன்ஸ்	চেযিন়্ট্ বিন়্চেন়্ট্ &amp; কিরেন়টৈন়্স্
வெனிசுலா	বেন়িচুলা
பிரிட்டீஷ் கன்னித் தீவுகள்	পিরিট্টীষ্ কন়্ন়িত্ তীবুকল্
வியட்நாம்	বিযট্নাম্
வனுவாட்டு	বন়ুবাট্টু
வாலிஸ் மற்றும் ஃபுடுனா	বালিস্ মর়্র়ুম্ ঃপুটুন়া
சமோவா	চমোবা
கொசோவோ	কোচোবো
ஏமன்	এমন়্
மயோட்	মযোট্
தென் ஆப்பிரிக்கா	তেন়্ আপ্পিরিক্কা
ஜாம்பியா	জাম্পিযা
ஜிம்பாப்வே	জিম্পাপ্বে
அறியப்படாத பிரதேசம்	অর়িযপ্পটাত পিরতেচম্
